STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT11
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",6/20/2025,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",6/25/2025,,,,,1.03,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",6/26/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/7/2025,,,,,1.03,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/9/2025,,,,,0.44,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/11/2025,,,,,0.83,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/17/2025,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/21/2025,,3,0.48,,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/25/2025,,,,,0.96,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/26/2025,,,,,1.08,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/28/2025,,2,0.31,,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",7/31/2025,,,,,0.84,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/12/2025,,,,,1.07,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/13/2025,,,,,2.08,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/17/2025,,,,,2.41,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/19/2025,,,,,2.61,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",8/28/2025,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",9/4/2025,,,,,0.31,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",10/7/2025,,,,,1.43,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",10/18/2025,,,,,0.31,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",10/20/2025,,2,1.09,,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0139,"WESTMONT 1.1 SSW, IL US",11/7/2025,,,,,0.21,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/14/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
